Title,Journal,Citation,Abstract,URL,Y/N/M,Why?,rand/fixed,type of phys,lit review
Influence of satiety and subjective valence rating on cerebral activation patterns in response to visual stimulation with high-calorie stimuli among restrictive anorectic and control women,Neuropsychobiology,"Gizewski, Elke R,Rosenberger, Christina,de Greiff, Armin,Moll, Andrea,Senf, Wolfgang,Wanke, Isabel,Forsting, Michael,Herpertz, Stephan,eng,Research Support, Non-U.S. Gov't,Switzerland,Neuropsychobiology. 2010 Aug;62(3):182-92. doi: 10.1159/000319360. Epub 2010 Jul 22.","BACKGROUND: There is evidence that patients with anorexia nervosa (AN) demonstrate specific cerebral activation patterns in response to visual food stimulation. We postulated that cerebral activation patterns could represent different perceptions of high-calorie images during hunger and satiety and could be determined by patients' subjective ratings. METHODS: After 6 h of starvation and also in a state of satiety, 12 female patients with AN and 12 normal-weight women were assessed by use of fMRI with high-calorie food images. All patients suffered from a restrictive type of AN. Heart rates, subjective ratings of satiety and valences of the visual stimuli were assessed. RESULTS: Food stimuli presented during a state of hunger were associated with significant activation of the anterior cingulate cortex and insula in the control group and of the prefrontal and central cortices and insula in the AN group. During the hunger state activation in AN of the dorsal posterior cingulate cortex was revealed compared to the controls. In the state of satiety, activation of the left insula was observed in the AN group. Use of the food valence judgment as a covariate confirmed the insula activation and revealed additional activation of the orbitofrontal, cingulate and medial temporal cortices. CONCLUSION: Our results indicate differences in cerebral activation patterns due to different perceptions of high-calorie food images, modulated by feelings of hunger or satiety, among AN patients with modulation by subjective ratings of food valence.",https://www.ncbi.nlm.nih.gov/pubmed/20664231,N,no corr,,,
Association of anosmia with autonomic failure in Parkinson disease,Neurology,"Goldstein, David S,Sewell, LaToya,Holmes, Courtney,eng,Intramural NIH HHS/,Comparative Study,Research Support, N.I.H., Intramural,Neurology. 2010 Jan 19;74(3):245-51. doi: 10.1212/WNL.0b013e3181ca014c.","BACKGROUND: Olfactory dysfunction and autonomic failure are gaining recognition as nonmotor manifestations of Parkinson disease (PD). This observational study assessed whether in PD anosmia and autonomic failure are related to each other or to neuroimaging evidence of striatal dopamine deficiency. METHODS: Olfactory function was assessed by the University of Pennsylvania Smell Identification Test (UPSIT) in 23 patients with sporadic PD. Baroreflex-cardiovagal gain was quantified from the relationship between cardiac interbeat interval and systolic pressure during the Valsalva maneuver and baroreflex-sympathoneural function by responses of systolic pressure to the Valsalva maneuver and of hemodynamics and plasma norepinephrine (NE) and dihydroxyphenylglycol (DHPG) levels to orthostasis. 6-[(18)F]Fluorodopamine PET and plasma and skeletal muscle microdialysate NE and DHPG were used to indicate cardiac and extracardiac noradrenergic innervation and brain 6-[(18)F]fluorodopa PET to indicate striatal dopaminergic innervation. Parkinsonism was assessed by UPDRS scores. RESULTS: Compared to patients with PD and normal to moderately decreased sense of smell, patients with anosmic PD had lower mean baroreflex-cardiovagal gain (p = 0.04), larger falls in systolic pressure during the Valsalva maneuver and orthostasis (p = 0.04, p = 0.02), smaller orthostatic increments in plasma NE and DHPG (p = 0.003, p = 0.03), lower cardiac septal:hepatic and renal cortical:hepatic ratios of 6-[(18)F]fluorodopamine-derived radioactivity (p = 0.01, p = 0.06), and lower microdialysate NE and DHPG (p = 0.01; p = 0.006). Neither clinical severity of parkinsonism nor the putamen:occipital cortex ratio of 6-[(18)F]fluorodopa-derived radioactivity was related to the UPSIT category. CONCLUSIONS: In Parkinson disease, anosmia is associated with baroreflex failure and cardiac and organ-selective extracardiac noradrenergic denervation, independently of parkinsonism or striatal dopaminergic denervation.",https://www.ncbi.nlm.nih.gov/pubmed/20083801,N,clinical,,,
Functional imaging of working memory and peripheral endothelial function in middle-aged adults,Brain Cogn,"Gonzales, Mitzi M,Tarumi, Takashi,Tanaka, Hirofumi,Sugawara, Jun,Swann-Sternberg, Tali,Goudarzi, Katayoon,Haley, Andreana P,eng,P30 NR005051/NR/NINR NIH HHS/,P30 NR005051-10/NR/NINR NIH HHS/,Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't,Brain Cogn. 2010 Jul;73(2):146-51. doi: 10.1016/j.bandc.2010.04.007. Epub 2010 May 20.","The current study examined the relationship between a prognostic indicator of vascular health, flow-mediated dilation (FMD), and working memory-related brain activation in healthy middle-aged adults. Forty-two participants underwent functional magnetic resonance imaging while completing a 2-Back working memory task. Brachial artery endothelial-dependent flow-mediated dilation (FMD) was assessed using B-mode ultrasound. The relationship between FMD and task-related brain activation in a priori regions of interest was modeled using hierarchical linear regression. Brachial FMD, was significantly related to reduced working memory-related activation in the right superior parietal lobule (beta=0.338, p=0.027), independent of age, sex, systolic blood pressure, and full scale IQ (F(5,36)=2.66, p=0.038). These data provide preliminary support for the association between a preclinical marker of endothelial dysfunction and cerebral hemodynamic alterations in healthy middle-aged adults. Considering the modifiable nature of endothelial function, additional investigations on the prognostic significance of FMD on future cognitive impairment are warranted.",https://www.ncbi.nlm.nih.gov/pubmed/20493622,N,no brain data,,,
The embodiment of emotional feelings in the brain,J Neurosci,"Harrison, Neil A,Gray, Marcus A,Gianaros, Peter J,Critchley, Hugo D,eng,Wellcome Trust/United Kingdom,074333/Wellcome Trust/United Kingdom,Research Support, Non-U.S. Gov't,J Neurosci. 2010 Sep 22;30(38):12878-84. doi: 10.1523/JNEUROSCI.1725-10.2010.","Central to Walter Cannon's challenge to peripheral theories of emotion was that bodily arousal responses are too undifferentiated to account for the wealth of emotional feelings. Despite considerable evidence to the contrary, this remains widely accepted and for nearly a century has left the issue of whether visceral afferent signals are essential for emotional experience unresolved. Here we combine functional magnetic resonance imaging and multiorgan physiological recording to dissect experience of two distinct disgust forms and their relationship to peripheral and central physiological activity. We show that experience of core and body-boundary-violation disgust are dissociable in both peripheral autonomic and central neural responses and also that emotional experience specific to anterior insular activity encodes these different underlying patterns of peripheral physiological responses. These findings demonstrate that organ-specific physiological responses differentiate emotional feeling states and support the hypothesis that central representations of organism physiological homeostasis constitute a critical aspect of the neural basis of feelings.",https://www.ncbi.nlm.nih.gov/pubmed/20861391,M,"in prev analysis, no corr",rand,,
Neural pathway from nucleus basalis of Meynert passing through the cingulum in the human brain,Brain Res,"Hong, Ji Heon,Jang, Sung Ho,eng,Research Support, Non-U.S. Gov't,Netherlands,Brain Res. 2010 Jul 30;1346:190-4. doi: 10.1016/j.brainres.2010.05.088. Epub 2010 Jun 4.","With the exception of post-mortem brain study, there has been no specific evaluation method for the nucleus basalis of Meynert (NBM) and its cholinergic pathway. In the current study, we attempted to identify the neural pathway from the NBM passing through the cingulum in the human brain, using diffusion tensor tractography (DTT). We recruited 22 healthy volunteers for this study. Diffusion tensor images (DTIs) were scanned using 1.5-T; images of the neural pathway from the NBM passing through the cingulum were obtained using the FMRIB Software Library (FSL). Values for fractional anisotropy (FA), mean diffusivity (MD), and tract volume were measured for the neural pathway. The neural pathway, which originated from the NBM, entered the cingulum, running to the anterior portion of the genu of the corpus callosum in the anterior, superior, and lateral directions. The rest of the pathway was through the cingulum to the splenium, or posteriorly to the retrosplenial area. In terms of fractional anisotropy, mean diffusivity, or tract volume, there were no significant differences between hemispheres (P>0.05). Using a probabilistic tractography technique, we identified the neural pathway from the NBM passing through the cingulum in the human brain. Methodology and data from this study of the neural pathway from the NBM passing through the cingulum will be helpful in elucidation of the pathology of diseases involving the basal forebrain or frontal lobe.",https://www.ncbi.nlm.nih.gov/pubmed/20570664,N,no corr,,,
Monitoring acupuncture effects on human brain by FMRI,J Vis Exp,"Hui, Kathleen K S,Napadow, Vitaly,Liu, Jing,Li, Ming,Marina, Ovidiu,Nixon, Erika E,Claunch, Joshua D,LaCount, Lauren,Sporko, Tara,Kwong, Kenneth K,eng,NS 34189/NS/NINDS NIH HHS/,1-P01-002048-01/PHS HHS/,K01 AT002166/AT/NCCIH NIH HHS/,K01-AT-002166-01/AT/NCCIH NIH HHS/,P41 RR014075/RR/NCRR NIH HHS/,R21 AT000978/AT/NCCIH NIH HHS/,R21AT00978/AT/NCCIH NIH HHS/,P41RR14075/RR/NCRR NIH HHS/,R01 NS034189/NS/NINDS NIH HHS/,Research Support, N.I.H., Extramural,Video-Audio Media,J Vis Exp. 2010 Apr 8;(38). pii: 1190. doi: 10.3791/1190.","Functional MRI is used to study the effects of acupuncture on the BOLD response and the functional connectivity of the human brain. Results demonstrate that acupuncture mobilizes a limbic-paralimbic-neocortical network and its anti-correlated sensorimotor/paralimbic network at multiple levels of the brain and that the hemodynamic response is influenced by the psychophysical response. Physiological monitoring may be performed to explore the peripheral response of the autonomic nerve function. This video describes the studies performed at LI4 (hegu), ST36 (zusanli) and LV3 (taichong), classical acupoints that are commonly used for modulatory and pain-reducing actions. Some issues that require attention in the applications of fMRI to acupuncture investigation are noted.",https://www.ncbi.nlm.nih.gov/pubmed/20379133,N,no corr,,,
Transient neural activation in human amygdala involved in aversive conditioning of face and voice,J Cogn Neurosci,"Iidaka, Tetsuya,Saito, Daisuke N,Komeda, Hidetsugu,Mano, Yoko,Kanayama, Noriaki,Osumi, Takahiro,Ozaki, Norio,Sadato, Norihiro,eng,Comparative Study,Research Support, Non-U.S. Gov't,J Cogn Neurosci. 2010 Sep;22(9):2074-85. doi: 10.1162/jocn.2009.21347.","Elucidating the neural mechanisms involved in aversive conditioning helps find effective treatments for psychiatric disorders such as anxiety disorder and phobia. Previous studies using fMRI and human subjects have reported that the amygdala plays a role in this phenomenon. However, the noxious stimuli that were used as unconditioned stimuli in previous studies (e.g., electric shock) might have been ecologically invalid because we seldom encounter such stimuli in daily life. Therefore, we investigated whether a face stimulus could be conditioned by using a voice that had negative emotional valence and was collected from a real-life environment. A skin conductance response showed that healthy subjects were conditioned by using these stimuli. In an fMRI study, there was greater amygdala activation in response to the faces that had been paired with the voice than to those that had not. The right amygdala showed transient activity in the early stage of acquisition. A psychophysiological interaction analysis indicated that the subcortical pathway from the medial geniculate body to the amygdala played a role in conditioning. Modulation of the subcortical pathway by voice stimuli preceded the transient activity in the amygdala. The finding that an ecologically valid stimulus elicited the conditioning and amygdala response suggests that our brain is automatically processing unpleasant stimuli in daily life.",https://www.ncbi.nlm.nih.gov/pubmed/19803681,N,ppi? ,,,
Step-by-step: the effects of physical practice on the neural correlates of locomotion imagery revealed by fMRI,Hum Brain Mapp,"Ionta, Silvio,Ferretti, Antonio,Merla, Arcangelo,Tartaro, Armando,Romani, Gian Luca,eng,Hum Brain Mapp. 2010 May;31(5):694-702. doi: 10.1002/hbm.20898.","Previous studies have shown that mental imagery is a suitable tool to study the progression of the effect of practice on brain activation. Nevertheless, there is still poor knowledge of changes in brain activation patterns during the very early stages of physical practice. In this study, early and late practice stages of different kinds of locomotion (i.e., balanced and unbalanced) have been investigated using functional magnetic resonance imaging during mental imagery of locomotion and stance. During the task, cardiac activity was also recorded. The cerebral network comprising supplementary motor area, basal ganglia, bilateral thalamus, and right cerebellum showed a stronger activation during the imagery of locomotion with respect to imagery of stance. The heart beat showed a significant increase in frequency during the imagery of locomotion with respect to the imagery of stance. Moreover, early stages of practice determined an increased activation in basal ganglia and thalamus with respect to late stages. In this way, it is proposed the modulation of the brain network involved in the imagery of locomotion as a function of physical practice time.",https://www.ncbi.nlm.nih.gov/pubmed/19862697,N,no corr,,,
"Brain function, cognition, and the blood pressure response to pharmacological treatment",Psychosom Med,"Jennings, J Richard,Christie, Israel C,Muldoon, Matthew F,Ryan, Christopher M,Price, Julie C,Meltzer, Carolyn C,eng,HL076858/HL/NHLBI NIH HHS/,P01 HL040962/HL/NHLBI NIH HHS/,HL076854/HL/NHLBI NIH HHS/,HL076853/HL/NHLBI NIH HHS/,HL057529/HL/NHLBI NIH HHS/,T32 HL007560/HL/NHLBI NIH HHS/,R01 HL057529-08/HL/NHLBI NIH HHS/,R24 HL076852/HL/NHLBI NIH HHS/,HL076855/HL/NHLBI NIH HHS/,HL076852/HL/NHLBI NIH HHS/,R01 HL057529/HL/NHLBI NIH HHS/,HL07560/HL/NHLBI NIH HHS/,R01 HL101959/HL/NHLBI NIH HHS/,HL076856/HL/NHLBI NIH HHS/,HL076857/HL/NHLBI NIH HHS/,HL040962/HL/NHLBI NIH HHS/,Comparative Study,Randomized Controlled Trial,Research Support, N.I.H., Extramural,Psychosom Med. 2010 Sep;72(7):702-11. doi: 10.1097/PSY.0b013e3181e7c1a2. Epub 2010 Jul 16.","OBJECTIVE: To extend evidence suggesting that essential hypertension influences neuropsychological performance and that brain function before treatment is related to the success of pharmacological lowering of blood pressure (BP). METHODS: A voxel-based examination of the whole brain was conducted among 43 hypertensive patients treated for 1 year with assessment pre and post treatment, using positron emission tomography and neuropsychological testing. RESULTS: Neuropsychological performance improved over the year of treatment but was unrelated to change in regional cerebral blood flow (rCBF). Neither mean resting rCBF nor responsivity to a working memory task changed significantly with treatment. However, patients with greater lowering of systolic BP during treatment showed increased rCBF responsivity to a working memory task in medial and orbital frontal areas and decreased rCBF responsivity in mid frontal, parietal, thalamus, and pons (as well as lower thalamic rCBF pretreatment). Improved working memory performance over the treatment period was related to decreased responsivity in medial frontal, medullary, and parietal areas. Patients showing greater lowering of BP with treatment seemed to reduce excitatory and enhance inhibitory coupling between memory processing and BP more than those with less treatment success. CONCLUSION: Degree of treatment success for both BP and cognitive performance among hypertensives is related to differing patterns of rCBF. Overall, the results emphasize the relevance of brain function to the treatment of hypertension.",https://www.ncbi.nlm.nih.gov/pubmed/20639391,M,treatment paradigm?,,,
The truth about lying: inhibition of the anterior prefrontal cortex improves deceptive behavior,Cereb Cortex,"Karim, Ahmed A,Schneider, Markus,Lotze, Martin,Veit, Ralf,Sauseng, Paul,Braun, Christoph,Birbaumer, Niels,eng,Research Support, Non-U.S. Gov't,Cereb Cortex. 2010 Jan;20(1):205-13. doi: 10.1093/cercor/bhp090.","Recent neuroimaging studies have indicated a predominant role of the anterior prefrontal cortex (aPFC) in deception and moral cognition, yet the functional contribution of the aPFC to deceptive behavior remains unknown. We hypothesized that modulating the excitability of the aPFC by transcranial direct current stimulation (tDCS) could reveal its functional contribution in generating deceitful responses. Forty-four healthy volunteers participated in a thief role-play in which they were supposed to steal money and then to attend an interrogation with the Guilty Knowledge Test. During the interrogation, participants received cathodal, anodal, or sham tDCS. Remarkably, inhibition of the aPFC by cathodal tDCS did not lead to an impairment of deceptive behavior but rather to a significant improvement. This effect manifested in faster reaction times in telling lies, but not in telling the truth, a decrease in sympathetic skin-conductance response and feelings of guilt while deceiving the interrogator and a significantly higher lying quotient reflecting skillful lying. Increasing the excitability of the aPFC by anodal tDCS did not affect deceptive behavior, confirming the specificity of the stimulation polarity. These findings give causal support to recent correlative data obtained by functional magnetic resonance imaging studies indicating a pivotal role of the aPFC in deception.",https://www.ncbi.nlm.nih.gov/pubmed/19443622,N,no phys of interest,,,
Blood pressure lowering with valsartan is associated with maintenance of cerebral blood flow and cerebral perfusion reserve in hypertensive patients with cerebral small vessel disease,J Stroke Cerebrovasc Dis,"Kimura, Yasuyuki,Kitagawa, Kazuo,Oku, Naohiko,Kajimoto, Katsufumi,Kato, Hiroki,Tanaka, Makiko,Sakaguchi, Manabu,Hougaku, Hidetaka,Sakoda, Saburo,Hatazawa, Jun,eng,J Stroke Cerebrovasc Dis. 2010 Mar;19(2):85-91. doi: 10.1016/j.jstrokecerebrovasdis.2009.03.010.","BACKGROUND: The purpose of this study was to determine the effect of systemic blood pressure-lowering treatment with an angiotensin II receptor blocker, valsartan, on cerebral hemodynamics in patients with hypertension and evidence of cerebral small vessel disease. METHODS: We used positron emission tomography and acetazolamide challenge tests to measure cerebral blood flow (CBF) and cerebrovascular reserve (CVR) in 8 patients with hypertension (mean age 70.8 years) with lacunar infarcts and white matter lesions before and after valsartan therapy. RESULTS: Systemic blood pressure was significantly decreased from baseline after treatment with valsartan. The baseline global CBFs before and after treatment were 38.2 +/- 5.6 mL/min/100 g and 39.9 +/- 9.0 mL/min/100 g, respectively. The CVRs before and after treatment were 52.2 +/- 18.4% and 39.7 +/- 18.9%, respectively. Differences in these parameters were not significant. Both regional CBF and CVR in the corona radiata with moderate or severe white matter lesions were also preserved after valsartan therapy compared with those before treatment. CONCLUSIONS: Cerebral hemodynamics were preserved after blood pressure lowering with valsartan therapy. Valsartan could be a feasible antihypertensive regimen in terms of cerebral circulation in patients with cerebral small vessel disease.",https://www.ncbi.nlm.nih.gov/pubmed/20189083,N,clinical,,,
Central opioidergic neurotransmission in complex regional pain syndrome,Neurology,"Klega, A,Eberle, T,Buchholz, H-G,Maus, S,Maihofner, C,Schreckenberger, M,Birklein, F,eng,Research Support, Non-U.S. Gov't,Neurology. 2010 Jul 13;75(2):129-36. doi: 10.1212/WNL.0b013e3181e7ca2e.","OBJECTIVE: Complex regional pain syndrome (CRPS) is a chronic pain condition characterized by sensory, motor, and autonomic symptoms. It develops after limb trauma and may be associated with relevant psychiatric comorbidity. As there is evidence for central pathophysiology which might be related to an altered opioidergic neurotransmission, we investigated the cerebral opioid receptor status under resting conditions in this patient population. METHODS: In this case-control study, 10 patients with CRPS and 10 age- and gender-matched healthy subjects underwent a PET scan using the subtype-nonselective opioidergic radioligand [(18)F]fluoroethyl-diprenorphine. As a surrogate for regional cerebral opioid receptor availability, the opioid receptor binding potential (OR-BP) was assessed by means of the modified Logan plot with reference region input for categorical group comparison and correlation with clinical data in the patient group. RESULTS: Patients with CRPS showed reduced OR-BP in contralateral amygdala and parahippocampal gyri and increased OR-BP in contralateral prefrontal cortical areas. When OR-BP in the midcingulate cortex and the ipsilateral temporal cortex was low, the McGill pain rating index was high. In general, when anxiety and depression scales were high, contralateral temporal OR-BP was high as well. In addition, the anxiety scale decreased with increasing OR-BP in the contralateral parahippocampal cortex. CONCLUSIONS: These results demonstrate altered central opioidergic neurotransmission in CRPS. The correlation of regional opioid receptor availability to measures of pain, anxiety, and depression underlines the clinical importance of these findings.",https://www.ncbi.nlm.nih.gov/pubmed/20625165,N,no phys of interest,,,
Learning-related diminution of unconditioned SCR and fMRI signal responses,Neuroimage,"Knight, David C,Waters, Najah S,King, Margaret K,Bandettini, Peter A,eng,NIH0011354362/Intramural NIH HHS/,NIH0011354362/PHS HHS/,Research Support, N.I.H., Intramural,Neuroimage. 2010 Jan 1;49(1):843-8. doi: 10.1016/j.neuroimage.2009.07.012. Epub 2009 Jul 16.","During Pavlovian conditioning the expression of a conditioned response is typically taken as evidence that an association between a conditioned stimulus (CS) and an unconditioned stimulus (UCS) has been formed. However, learning-related changes in the unconditioned response (UCR) produced by a predictable UCS can also develop. Learning-related reductions in UCR magnitude are often referred to as UCR diminution. In the present study, we examined UCR diminution in the functional magnetic resonance imaging (fMRI) signal by pairing supra- and sub-threshold CS presentations with a UCS. UCR diminution was observed within several brain regions associated with fear learning and memory including the insula, inferior parietal lobe, ventromedial prefrontal cortex (PFC), dorsomedial PFC, and dorsolateral PFC. CS perception appeared to mediate UCR diminution within the ventromedial PFC and posterior cingulate cortex. UCRs within these regions were larger when the UCS followed an unperceived compared to a perceived CS. UCS expectancies appeared to modulate UCRs within the dorsomedial PFC, dorsolateral PFC, insula, and inferior parietal lobe. Activity within these regions showed an inverse relationship with participants' UCS expectancies, such that as UCS expectancy increased UCR magnitude decreased. In addition, activity within the dorsomedial PFC, dorsolateral PFC, and insula showed a linear relationship with unconditioned skin conductance response (SCR) expression. These findings demonstrate UCR diminution within the fMRI signal, and suggest that UCS expectancies modulate prefrontal cortex responses to aversive stimuli. In turn, prefrontal cortex activity appears to modulate the expression of unconditioned SCRs.",https://www.ncbi.nlm.nih.gov/pubmed/19616105,Y,corr,uns,,
Right orbitofrontal cortex mediates conscious olfactory perception,Psychol Sci,"Li, Wen,Lopez, Leonardo,Osher, Jason,Howard, James D,Parrish, Todd B,Gottfried, Jay A,eng,K08 DC007653/DC/NIDCD NIH HHS/,R01 DC010014/DC/NIDCD NIH HHS/,Case Reports,Psychol Sci. 2010 Oct;21(10):1454-63. doi: 10.1177/0956797610382121. Epub 2010 Sep 3.","Understanding how the human brain translates sensory impressions into conscious percepts is a key challenge of neuroscience research. Work in this area has overwhelmingly centered on the conscious experience of vision at the exclusion of the other senses--in particular, smell. We hypothesized that the orbitofrontal cortex (OFC) is a central substrate for olfactory conscious experience because of its privileged physiological role in odor processing. Combining functional magnetic resonance imaging, peripheral autonomic recordings, and olfactory psychophysics, we studied a case of complete anosmia (smell loss) in a patient with circumscribed traumatic brain injury to the right OFC. Despite a complete absence of conscious olfaction, the patient exhibited robust ""blind smell,"" as indexed by reliable odor-evoked neural activity in the left OFC and normal autonomic responses to odor hedonics during presentation of stimuli to the left nostril. These data highlight the right OFC's critical role in subserving human olfactory consciousness.",https://www.ncbi.nlm.nih.gov/pubmed/20817780,N,case study,,,
Improving fMRI sensitivity by normalization of basal physiologic state,Hum Brain Mapp,"Lu, Hanzhang,Yezhuvath, Uma S,Xiao, Guanghua,eng,R01 MH084021/MH/NIMH NIH HHS/,R01 MH084021-02/MH/NIMH NIH HHS/,R21 EB007821/EB/NIBIB NIH HHS/,R21 NS054916/NS/NINDS NIH HHS/,Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't,Hum Brain Mapp. 2010 Jan;31(1):80-7. doi: 10.1002/hbm.20846.","The power of fMRI in assessing neural activities is hampered by inter-subject variations in basal physiologic parameters, which may not be related to neural activation but has a modulatory effect on fMRI signals. Therefore, normalization of fMRI signals with these parameters is useful in reducing variations and improving sensitivity of this important technique. Recently, we have shown that basal venous oxygenation is a significant modulator of fMRI signals and individuals with higher venous oxygenation tend to have lower fMRI signals. In this study, we aim to test the utility of venous oxygenation normalization in distinguishing subject groups. A ""model"" condition was used in which two visual stimuli with different flashing frequencies were used to stimulate two subject groups, respectively, thereby simulating the situation of control and patient groups. It was found that visual-evoked BOLD signal is significantly correlated with baseline venous T2 (P = 0.0003) and inclusion of physiologic modulator in the regression analysis can substantially reduce P values of group-level statistical tests. When applied to voxel-wise analysis, the normalization process can allow the detection of more significant voxels. The utility of other basal parameters, including blood pressure, heart rate, arterial oxygenation, and end-tidal CO(2), in BOLD normalization was also assessed and it was found that the improvement was less significant. Time-to-peak of the BOLD responses was also studied and it was found that subjects with higher basal venous oxygenation tend to slower BOLD responses.",https://www.ncbi.nlm.nih.gov/pubmed/19585589,N,methods paper,,,
Real-time imaging of the medullary circuitry involved in the generation of spontaneous muscle sympathetic nerve activity in awake subjects,Hum Brain Mapp,"Macefield, Vaughan G,Henderson, Luke A,eng,Hum Brain Mapp. 2010 Apr;31(4):539-49. doi: 10.1002/hbm.20885.","To understand the central neural processes involved in blood pressure regulation we recorded muscle sympathetic nerve activity (MSNA) via a tungsten microelectrode in the common peroneal nerve while performing functional magnetic resonance imaging (fMRI) of the brainstem at 3T. Blood oxygen level dependent (BOLD) changes in signal intensity were measured over 4 s every 8 s (200) volumes; MSNA was recorded during the previous 4 s epoch, which takes into account peripheral conduction delays along unmyelinated axons and neurovascular coupling delays. Analysis of temporal coupling between BOLD signal intensity and nerve signal intensity revealed sites in which the two signals covaried, but only in the medulla. Because scans were conducted in a caudorostral direction, we could constrain the analysis to the medulla by only examining the first 1 s of the fMRI and nerve signals. Increases in MSNA were associated with robust bilateral increases in signal intensity in the dorsolateral region of the medulla that corresponds to the human equivalent of the rostal ventrolateral medulla (RVLM). Reciprocal decreases in signal intensity occurred in the regions of the nucleus tractus solitarius (NTS) and caudal ventrolateral medulla (CVLM). Group analysis also revealed increases in signal intensity in the caudal pressor area (CPA), medullary raphe (MR), and dorsal motor nucleus of the vagus (DMX). We have shown for the first time that this combined approach of recording sympathetic neural activity and fMRI provides real-time imaging of the neural processes responsible for the generation of sympathetic nerve activity in awake human subjects.",https://www.ncbi.nlm.nih.gov/pubmed/19777579,N,no coords,,MSNA,
Mathematical modeling of CSF pulsatile hydrodynamics based on fluid-solid interaction,IEEE Trans Biomed Eng,"Masoumi, Nafiseh,Bastani, Dariush,Najarian, Siamak,Ganji, Fariba,Farmanzad, Farhad,Seddighi, Amir Saeed,eng,Research Support, Non-U.S. Gov't,IEEE Trans Biomed Eng. 2010 Jun;57(6):1255-63. doi: 10.1109/TBME.2009.2037975. Epub 2010 Feb 5.","Intracranial pressure (ICP) is derived from cerebral blood pressure and cerebrospinal fluid (CSF) circulatory dynamics and can be affected in the course of many diseases. Computer analysis of the ICP time pattern plays a crucial role in the diagnosis and treatment of those diseases. This study proposes the application of Linninger et al.'s [IEEE Trans. Biomed. Eng., vol. 52, no. 4, pp. 557-565, Apr. 2005] fluid-solid interaction model of CSF hydrodynamic in ventricular system based on our clinical data from a group of patients with brain parenchyma tumor. The clinical experiments include the arterial blood pressure (ABP), venous blood pressure, and ICP in the subarachnoid space (SAS). These data were used as inputs to the model that predicts the intracranial dynamic phenomena. In addition, the model has been modified by considering CSF pulsatile production rate as the major factor of CSF motion. The approximations of ventricle enlargement, CSF pressure distribution in the ventricular system and CSF velocity magnitude in the aqueduct and foramina were obtained in this study. The observation of reversal flow in the CSF flow pattern due to brain tissue compression is another finding in our investigation. Based on the experimental results, no existence of large transmural pressure differences were found in the brain system. The measured pressure drop in the ventricular system was less than 5 Pa. Moreover, the CSF flow pattern, ICP distribution, and velocity magnitude were in good agreement with the published models and CINE (phase-contrast magnetic resonance imaging) experiments, respectively.",https://www.ncbi.nlm.nih.gov/pubmed/20142150,N,no coords,,,
Mechanisms of symptomatic improvement after gastric electrical stimulation in gastroparetic patients,Neurogastroenterol Motil,"McCallum, R W,Dusing, R W,Sarosiek, I,Cocjin, J,Forster, J,Lin, Z,eng,Research Support, Non-U.S. Gov't,England,Neurogastroenterol Motil. 2010 Feb;22(2):161-7, e50-1. doi: 10.1111/j.1365-2982.2009.01389.x. Epub 2009 Aug 28.","The aims were to investigate the effects of gastric electrical stimulation (GES) on autonomic function, gastric distention and tone, and central control mechanisms in gastroparetic patients. Ten gastroparetic patients refractory to standard medical therapy participated in this study and data were collected at baseline, within two weeks before surgery for implantation of GES system, and at follow-up sessions between 6 and 12 weeks after GES therapy was initiated. In each session, electrocardiogram, electrogastrogram (EGG) and gastric barostat measurements were conducted before and after a caloric liquid meal. Positron Emission Tomography (PET) brain scans were performed on a separate day. During GES therapy there was a significant increase in the discomfort threshold for mean pressure from 21 mmHg at baseline to 25 mmHg at follow-up, and for mean volume from 561 mL to 713 mL. A significant increase in the postprandial EGG power (amplitude) was observed between baseline and follow up. The sympathovagal balance was significantly decreased after GES therapy, indicating a significant increase in vagal activity. The cumulative PET data showed an increase in quantitative radioactive counts relative to the standardized data base in both the thalamic and caudate nuclei after chronic GES therapy. We conclude that our data suggest that the symptomatic improvement achieved by GES in gastroparesis is best explained by activation of vagal afferent pathways to influence CNS control mechanisms for nausea and vomiting accompanied by enhanced vagal efferent autonomic function and decreased gastric sensitivity to volume distention which enhances postprandial gastric accommodation.",https://www.ncbi.nlm.nih.gov/pubmed/19719511,N,clinical,,,
